,accuracy,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8
38,0.7848485112190247,64,256,512,128,64,512,128,64
87,0.8484848737716675,128,512,64,128,32,64,256,256
101,0.7818182110786438,64,64,128,32,512,256,256,256
103,0.8545454740524292,32,64,64,64,32,64,256,512
111,0.760606050491333,64,32,512,64,256,64,64,256
221,0.8575757741928101,64,32,64,32,256,256,256,256
267,0.8030303120613098,256,64,512,128,128,512,128,64
291,0.760606050491333,128,32,32,128,64,64,128,256
301,0.760606050491333,128,64,256,256,512,256,128,128
317,0.8363636136054993,128,128,128,128,256,256,256,512
390,0.7545454502105713,32,256,32,32,128,64,256,512
405,0.8333333134651184,32,128,512,64,128,128,256,256
431,0.8333333134651184,32,64,64,64,32,64,256,128
448,0.7939394116401672,32,64,32,64,64,32,32,512
538,0.8666666746139526,128,64,32,32,64,128,512,512
588,0.7848485112190247,32,32,256,64,512,256,256,256
596,0.7727272510528564,64,32,64,32,32,32,128,512
